0,0,2.98532,166.426,,,,,,,,,
0,0,2.98532,,,,,,,,,,
0,0,2.98474,155.468,,,,,,,,,
0,0,2.98474,,,,,,,,,,
0,0,2.98518,173.86,,,,,,,,,
0,0,2.98518,,,,,,,,,,
0,0,2.98465,281.957,,,,,,,,,
0,0,2.98465,,,,,,,,,,
0,0,0.156965,188.236,,,,,,,,,
0,0,0.156965,,,,,,,,,,
0,0,0.156629,366.328,,,,,,,,,
0,0,0.156629,,,,,,,,,,
0,0,2.98462,426.029,,,,,,,,,
0,0,2.98462,,,,,,,,,,
0,0,2.98454,578.061,,,,,,,,,
0,0,2.98454,,,,,,,,,,
0,0,0.156491,351.989,,,,,,,,,
0,0,0.156491,,,,,,,,,,
0,0,2.98477,187.159,,,,,,,,,
0,0,2.98477,,,,,,,,,,
0,0,0.156813,210.879,,,,,,,,,
0,0,0.156813,,,,,,,,,,
0,0,2.98504,171.977,,,,,,,,,
0,0,2.98504,,,,,,,,,,
0,0,0.156908,231.477,,,,,,,,,
0,0,0.156908,,,,,,,,,,
0,0,2.98495,259.961,,,,,,,,,
0,0,2.98495,,,,,,,,,,
0,0,0.15694,401.415,,,,,,,,,
0,0,0.15694,,,,,,,,,,
0,0,0.156259,231.3,,,,,,,,,
0,0,0.156259,,,,,,,,,,
0,0,0.156478,478.235,,,,,,,,,
0,0,0.156478,,,,,,,,,,
0,0,0.157006,338.329,,,,,,,,,
0,0,0.157006,,,,,,,,,,
0,0,0.156846,212.474,,,,,,,,,
0,0,0.156846,,,,,,,,,,
0,0,0.156671,255.199,,,,,,,,,
0,0,0.156671,,,,,,,,,,
0,0,nan,,,,,,,,,,
0,0,2.98546,374.467,,,,,,,,,
0,0,2.98546,,,,,,,,,,
0,0,0.156486,90.0792,,,,,,,,,
0,0,0.156486,,,,,,,,,,
0,0,0.156488,364.814,,,,,,,,,
0,0,0.156488,,,,,,,,,,
0,0,0.156819,238.717,,,,,,,,,
0,0,0.156819,,,,,,,,,,
0,0,2.98454,255.485,,,,,,,,,
0,0,2.98454,,,,,,,,,,
0,0,2.98471,208.892,,,,,,,,,
0,0,2.98471,,,,,,,,,,
0,0,0.156397,184.976,,,,,,,,,
0,0,0.156397,,,,,,,,,,
0,0,2.98511,172.849,,,,,,,,,
0,0,2.98511,,,,,,,,,,
0,0,2.98482,109.63,,,,,,,,,
0,0,2.98482,,,,,,,,,,
0,0,0.156549,312.101,,,,,,,,,
0,0,0.156549,,,,,,,,,,
0,0,2.98459,374.186,,,,,,,,,
0,0,2.98459,,,,,,,,,,
,,,,,,,,,,,,
,,mean,263.5881838,,,,,,,,,
,,st dev,111.5194016,,,,,,,,,
